medallion,hack_license,vendor_id,payment_type,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount,rate_code,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,credit_card
8F9B593AE29F10B40EBEA0BBDEDD249F,61AF8331CB51E436B747478FC0E78B67,CMT,CSH,30,1,0.5,0,4.8,36.3,1,2013-01-07 17:38:07,2013-01-07 17:57:46,1,1179,10.3,-73.873154,40.773998,-73.92878,40.859314,
0B57B9633A2FECD3D3B1944AFC7471CF,CCD4367B417ED6634D986F573A552A62,CMT,CSH,6.5,0,0.5,0,0,7,1,2013-01-07 14:38:35,2013-01-07 14:46:13,1,457,0.6,-73.990623,40.756813,-73.982101,40.758984,
0B57B9633A2FECD3D3B1944AFC7471CF,CCD4367B417ED6634D986F573A552A62,CMT,CSH,7,0,0.5,0,0,7.5,1,2013-01-07 10:35:10,2013-01-07 10:42:36,1,446,1.2,-73.965843,40.758705,-73.978134,40.752731,
0B57B9633A2FECD3D3B1944AFC7471CF,CCD4367B417ED6634D986F573A552A62,CMT,CSH,7.5,0,0.5,0,0,8,1,2013-01-07 14:46:55,2013-01-07 14:55:46,1,530,1.1,-73.981796,40.758862,-73.967239,40.7617,
E12F6AF991172EAC3553144A0AF75A19,06918214E951FA0003D1CC54955C2AB0,CMT,CSH,7,0,0.5,0,0,7.5,1,2013-01-08 15:17:50,2013-01-08 15:25:00,1,429,1.2,-73.977318,40.764542,-73.981895,40.779526,
2C0E91FF20A856C891483ED63589F982,1DA2F6543A62B8ED934771661A9D2FA0,CMT,CSH,10.5,1,0.5,0,0,12,1,2013-01-07 18:24:11,2013-01-07 18:36:15,1,724,2.3,-73.986534,40.7342,-73.987869,40.75914,
78FFD9CD0CDA541F335EF8B38FB494D6,E949C583ECF62C8F03FDCE1484954A08,CMT,CSH,6.5,0,0.5,0,0,7,1,2013-01-10 12:20:38,2013-01-10 12:28:26,1,468,0.6,-73.96666,40.773125,-73.971802,40.765766,
FAE1370A694D0621FAE1E62FAFD64080,265B3D7D30A9B7AE389A2626F6825266,CMT,CSH,5.5,0,0.5,0,0,6,1,2013-01-07 10:15:19,2013-01-07 10:20:10,1,290,1,-73.958649,40.768791,-73.970909,40.76149,
32D306FD3A4D7CEDCFD8D644294DD5B7,05EACD5B806FC3D01A377606D37CF327,CMT,CSH,10,0,0.5,0,0,10.5,1,2013-01-08 13:56:41,2013-01-08 14:08:29,2,707,2,-73.975922,40.744606,-73.998146,40.729076,
D8AADA4E722C87C10E609654612630DD,8F1E4F779A4D67431C3FCFA4E70A87DC,CMT,CSH,24,1,0.5,0,0,25.5,1,2013-01-10 17:19:42,2013-01-10 17:51:18,1,1896,5.9,-73.963608,40.774113,-73.944038,40.717518,
A5A69FAD94C3DC7854F9DDEA994B6380,178BA04DD1A4E3A184C86AA3F110A742,CMT,CSH,10.5,0,0.5,0,0,11,1,2013-01-10 13:16:11,2013-01-10 13:26:46,1,635,2.4,-73.958481,40.761166,-73.986542,40.749397,
7D99C30FCE69B1A9DD27E2AEAC9BFA0C,460C3F57DD9CB2265DB75B14CD70224D,CMT,CSH,4.5,0.5,0.5,0,0,5.5,1,2013-01-08 00:02:36,2013-01-08 00:05:56,1,200,0.7,-73.985573,40.747375,-73.983879,40.739223,
5E162F2D7F569949769648C56A23C525,6F7932F2B112DAABF1F2A385FE2AB819,CMT,CSH,8,1,0.5,0,0,9.5,1,2013-01-07 17:54:25,2013-01-07 18:00:25,1,360,2.2,-73.985184,40.773998,-73.964737,40.801834,
82420BD631D2BB88E2F213A8CA15BECE,213779F7AA40E58009B3457E3FA7089D,CMT,CSH,14,0,0.5,0,0,14.5,1,2013-01-08 10:38:22,2013-01-08 10:56:19,1,1076,3.1,-73.967682,40.751221,-73.995232,40.717422,
1836E1591EE79F810104064B945747AB,18EDD3FC80A78DC262E2442FEEA55F01,CMT,CSH,13,0.5,0.5,0,0,14,1,2013-01-07 20:13:25,2013-01-07 20:25:01,1,695,3.6,-74.007469,40.708904,-73.981888,40.67767,
1836E1591EE79F810104064B945747AB,18EDD3FC80A78DC262E2442FEEA55F01,CMT,CSH,8,0.5,0.5,0,0,9,1,2013-01-08 01:15:53,2013-01-08 01:23:09,1,435,1.9,-73.9925,40.758308,-73.96714,40.76078,
1836E1591EE79F810104064B945747AB,18EDD3FC80A78DC262E2442FEEA55F01,CMT,CSH,8,0.5,0.5,0,0,10,1,2013-01-08 01:15:53,2013-01-08 01:23:09,1,435,1.9,-73.9925,40.758308,-73.96714,40.76078,
8FCED8833E91F75673B4B4B4A7D720AB,C8DB0DEAF651336169544E466AFF2DA1,CMT,CSH,8.5,1,0.5,0,0,10,1,2013-01-07 18:12:27,2013-01-07 18:19:41,1,433,2.2,-73.982315,40.774441,-73.965904,40.801422,
47CFD616C057758044C57D1B4BEFE759,A6DCBA545B1E1A2DC24BFEE1C0A54029,CMT,CSH,10.5,1,0.5,0,0,12,1,2013-01-07 18:45:40,2013-01-07 19:00:14,1,874,1.9,-73.977676,40.746544,-73.999458,40.738972,
4728FA63A46613319446ED726626FED3,4A6C8D08FAB98E9C9B21399C5255EED0,CMT,CSH,10,0,0.5,0,0,10.5,1,2013-01-08 11:33:23,2013-01-08 11:48:13,1,889,0.6,-73.987732,40.751884,-73.98172,40.746529,
0C5296F3C8B16E702F8F2E06F5106552,D2363240A9295EF570FC6069BC4F4C92,CMT,CSH,34,0.5,0.5,0,0,35,1,2013-01-07 20:46:10,2013-01-07 21:06:01,1,1190,12.3,-73.864861,40.770428,-74.006653,40.707874,
0CC08DE5645A7137059499EA11886805,4F2627F9FD34A9B9EFCCFC5147048345,CMT,CSH,6.5,1,0.5,0,0,8,1,2013-01-07 18:45:14,2013-01-07 18:52:54,3,459,0.9,-73.979706,40.758427,-73.985558,40.747265,
961D9C9506D105D3A7E88229F0487033,65683B8714DEF5F783E75E8111784177,CMT,CSH,8,0,0.5,0,0,8.5,1,2013-01-10 15:17:20,2013-01-10 15:28:22,1,661,1,-73.988495,40.737442,-73.988106,40.7491,
1159BD618BE1D4A90D522416A77AC29A,9964A99249A4888E2C6AE55BA78A6F64,CMT,CSH,4.5,0,0.5,0,0,5,1,2013-01-10 15:04:11,2013-01-10 15:07:35,1,204,0.7,-73.980118,40.754601,-73.988045,40.748962,
FA3DD236E7627E99646337C5218EA281,37A4843DC4AA9F62DBF4CA42F359E0D3,CMT,CSH,12,0,0.5,0,0,12.5,1,2013-01-08 13:16:48,2013-01-08 13:32:24,1,936,2.2,-74.004578,40.707554,-73.99247,40.734222,
FA3DD236E7627E99646337C5218EA281,37A4843DC4AA9F62DBF4CA42F359E0D3,CMT,CSH,11.5,0,0.5,0,0,12,1,2013-01-08 15:33:16,2013-01-08 15:48:56,1,940,1.6,-73.945915,40.786156,-73.971581,40.794956,
38CA8BCB4180F32BEDE6FE085F4E445E,CE7A3E2632A838C9C02334D65E4355AF,CMT,CSH,44.5,0.5,0.5,0,0,45.5,1,2013-01-07 22:35:11,2013-01-07 22:59:29,1,1457,16.1,-73.790016,40.644058,-73.956703,40.747852,
C28DA92FB1D60B9EBFB7EFA6AE6C4577,979AF867DF1D4CF290467D47E5BD20CA,CMT,CSH,7,1,0.5,0,0,8.5,1,2013-01-07 18:48:51,2013-01-07 18:56:16,1,445,1.2,-73.998337,40.746025,-73.981255,40.747223,
C28DA92FB1D60B9EBFB7EFA6AE6C4577,979AF867DF1D4CF290467D47E5BD20CA,CMT,CSH,7,1,0.5,0,0,9.5,1,2013-01-07 18:48:51,2013-01-07 18:56:16,1,445,1.2,-73.998337,40.746025,-73.981255,40.747223,
DDB3F3E0172B1FBF0C9E39CA773CC6E3,559F071794B7213986693B57DCEDDEE5,CMT,CSH,32.5,0.5,0.5,0,2.2,35.7,1,2013-01-07 22:19:19,2013-01-07 22:39:02,1,1182,11.4,0,0,0,0,
B14118AD4BF381D80035EF546CE7AEFA,9DCEE90343F24D475B3A19A3F10AE801,CMT,CSH,12,0,0.5,0,0,12.5,1,2013-01-10 10:31:05,2013-01-10 10:46:35,2,930,2.4,-73.982079,40.763794,-74.003113,40.731106,
50296A056AF5D221536DC98ABB1E3274,4F3E6D0E69CABD8954F8A126D54C5C20,CMT,CSH,4,0.5,0.5,0,0,5,4,2013-01-08 02:22:17,2013-01-08 02:24:47,1,150,0.5,-73.99469,40.750191,-73.990089,40.757217,
2D4B95E2FA7B2E85118EC5CA4570FA58,CD2F522EEE1FF5F5A8D8B679E23576B3,CMT,CSH,11,0,0.5,0,0,11.5,1,2013-01-07 13:21:28,2013-01-07 13:34:11,2,762,2.3,-73.947601,40.77533,-73.978798,40.777584,
4C005EEBAA7BF26B84B21586332488A2,351BE7D984BE17DB2FA80A748E816472,CMT,CSH,9,0.5,0.5,0,0,10,1,2013-01-07 21:58:43,2013-01-07 22:08:42,3,598,2,-73.987099,40.755215,-73.974457,40.755589,
5C1E310A26EEE17AA72AFE63194DE5B5,A56B275487B0D09E6BA4C8801E0B2BE3,CMT,CSH,6.5,0,0.5,0,0,7,1,2013-01-01 17:11:51,2013-01-01 17:17:18,3,327,1.4,-73.98793,40.749542,-73.978981,40.766735,
CD847FE5884F10A28217E9FBA11B275B,5FEFD00D9773268B72EE4E879852F190,CMT,DIS,3.5,0,0.5,0,0,4,1,2013-01-08 10:44:06,2013-01-08 10:46:09,1,123,0.3,-73.989296,40.756313,-73.987885,40.751122,
961D9C9506D105D3A7E88229F0487033,65683B8714DEF5F783E75E8111784177,CMT,CSH,4,0,0.5,0,0,4.5,1,2013-01-10 14:55:05,2013-01-10 14:57:38,1,153,0.6,-73.961678,40.756123,-73.969917,40.753159,
A5A69FAD94C3DC7854F9DDEA994B6380,178BA04DD1A4E3A184C86AA3F110A742,CMT,CSH,7.5,0,0.5,0,0,8,1,2013-01-10 10:42:05,2013-01-10 10:51:14,1,549,0.9,-73.946854,40.775887,-73.961754,40.77993,
FAE1370A694D0621FAE1E62FAFD64080,265B3D7D30A9B7AE389A2626F6825266,CMT,CSH,6,0,0.5,0,0,6.5,1,2013-01-07 08:29:26,2013-01-07 08:34:48,1,322,1.1,-73.986847,40.762066,-74.002892,40.760334,
312E0CB058D7FC1A6494EDB66D360CD2,7B5156F38990963332B33298C8BAE25E,CMT,CSH,6,0,0.5,0,0,6.5,1,2013-01-05 14:00:07,2013-01-05 14:06:34,1,386,0.8,-73.986351,40.738503,-73.981422,40.74744,
0DDA4FBFADAE0126868397C423989193,CD45CB7CD02BB6649F9A23F5A374A480,CMT,CSH,6.5,0.5,0.5,0,0,7.5,1,2013-01-05 21:04:10,2013-01-05 21:11:45,1,455,0.9,-73.9879,40.737755,-73.979568,40.730965,
24929E5F008DBC4C0E551B957F619910,F7C8E4BC689563E4562A9F52A04EE619,CMT,CSH,4.5,0,0.5,0,0,5,1,2013-01-08 13:51:53,2013-01-08 13:55:24,1,210,0.7,-73.998299,40.740654,-74.000504,40.747913,
24929E5F008DBC4C0E551B957F619910,F7C8E4BC689563E4562A9F52A04EE619,CMT,CSH,4.5,0,0.5,0,0,6,1,2013-01-08 13:51:53,2013-01-08 13:55:24,1,210,0.7,-73.998299,40.740654,-74.000504,40.747913,
26B6CDD419985C6F551F0FAE87EF3AA9,015760806341352ED97B0F79C8A873BC,CMT,CSH,10.5,0.5,0.5,0,0,11.5,1,2013-01-06 22:18:22,2013-01-06 22:26:51,1,508,2.9,-74.003059,40.723473,-73.976883,40.751884,
D5367E940A20B9D2550BF7CF7AE01681,5B34A2589D1D2106FC0C47564A4833F0,CMT,CSH,7.5,0,0.5,0,0,8,1,2013-01-08 12:50:22,2013-01-08 12:58:39,2,496,1.1,-73.952026,40.766479,-73.966827,40.759968,
20D9ECB2CA0767CF7A01564DF2844A3E,598CCE5B9C1918568DEE71F43CF26CD2,CMT,NOC,2.5,0,0.5,0,0,3,1,2013-01-08 07:51:16,2013-01-08 07:51:20,1,4,0,-73.945396,40.80209,-73.945412,40.802025,
21EF33AA5B34F791B9627087A59C2B13,81D753BF37DADFA0AB6DD2A246A81D32,CMT,CSH,3.5,0,0.5,0,0,4,1,2013-01-08 10:54:06,2013-01-08 10:55:50,1,104,0.5,-73.983917,40.746563,-73.990921,40.750141,
02BFD1B64C2C80B433D3A282C828912B,375201058CFE70CE40B69903041C2310,CMT,CSH,8.5,0,0.5,0,0,9,1,2013-01-01 19:41:43,2013-01-01 19:49:17,2,453,2.1,-73.984734,40.76931,-73.997787,40.744205,
1944EB168702ED8E6B9FD94E988D0197,1D24DD6F12731B59E72DD7CF387F5011,CMT,CSH,8,0,0.5,0,0,8.5,1,2013-01-08 08:30:16,2013-01-08 08:41:03,1,647,0.8,-73.976288,40.765472,-73.975105,40.757393,
CBA5A347BB1107C22444175A81393D41,AE3664048097EAEBF73CB279944741A6,CMT,CSH,5,1,0.5,0,0,6.5,1,2013-01-06 16:37:03,2013-01-06 16:41:38,1,275,0.7,-73.995102,40.744781,-73.992508,40.738434,
D5367E940A20B9D2550BF7CF7AE01681,5B34A2589D1D2106FC0C47564A4833F0,CMT,CSH,8.5,0,0.5,0,0,9,1,2013-01-08 10:08:49,2013-01-08 10:18:43,2,594,1.6,-73.972366,40.762138,-73.957542,40.782902,
37BDEA2E54A3B70CBFA5B0D1C3A75FE2,730A179A7F97126B694CABFB93CC3A0C,CMT,CSH,10.5,0,0.5,0,0,11,1,2013-01-08 07:49:28,2013-01-08 07:57:15,2,467,2.6,-74.00679,40.754345,-73.980316,40.784081,
0428E3DD09EA5A63D85509C7CA8C0199,A4B0B563E94A1C3ADA0B308161EDCB5A,CMT,CSH,5.5,1,0.5,0,0,7,1,2013-01-07 16:19:22,2013-01-07 16:24:13,1,291,0.9,0,0,0,0,
B33E71CD9E8FE1BE3B70FEB6E807DD15,BAF57796E45D921BB23217E17A372FF6,CMT,CSH,12.5,0.5,0.5,0,0,13.5,1,2013-01-06 00:15:44,2013-01-06 00:27:33,1,709,3.4,-74.005058,40.728676,-73.977501,40.757061,
7A9728FFD700148BF60616DA97FFC3C3,D25781FA72D2C328B9F120736E6CAA68,CMT,CSH,5,0,0.5,0,0,5.5,1,2013-01-08 10:59:25,2013-01-08 11:04:35,1,310,0.6,-73.960358,40.769138,-73.961914,40.775684,
